timestamp,datetime,firmware_version,humidity,temperature,pressure,voc,pm2.5_cf_1
1751890032,2025-07-07T06:07:12-06:00,7.04,26,82,907.48,75,0.0
1751890152,2025-07-07T06:09:12-06:00,7.04,26,82,907.51,76,0.0
1751890272,2025-07-07T06:11:12-06:00,7.04,26,82,907.51,75,0.0
1751890392,2025-07-07T06:13:12-06:00,7.04,26,82,907.52,76,0.0
1751890512,2025-07-07T06:15:12-06:00,7.04,26,82,907.56,75,0.0
1751890632,2025-07-07T06:17:12-06:00,7.04,26,82,907.56,75,0.0
1751890752,2025-07-07T06:19:12-06:00,7.04,26,82,907.55,75,0.0
1751890873,2025-07-07T06:21:13-06:00,7.04,26,82,907.54,75,0.0
1751890993,2025-07-07T06:23:13-06:00,7.04,26,82,907.56,75,0.0
1751891113,2025-07-07T06:25:13-06:00,7.04,26,82,907.56,75,0.0
1751891233,2025-07-07T06:27:13-06:00,7.04,26,82,907.61,75,0.0
1751891353,2025-07-07T06:29:13-06:00,7.04,26,82,907.6,75,0.0
1751891473,2025-07-07T06:31:13-06:00,7.04,26,82,907.6,75,0.0
1751891593,2025-07-07T06:33:13-06:00,7.04,26,82,907.62,74,0.0
1751891713,2025-07-07T06:35:13-06:00,7.04,26,82,907.64,74,0.0
1751891833,2025-07-07T06:37:13-06:00,7.04,26,82,907.63,75,0.0
1751891953,2025-07-07T06:39:13-06:00,7.04,26,82,907.61,75,0.0
1751892073,2025-07-07T06:41:13-06:00,7.04,26,82,907.63,75,0.0
1751892193,2025-07-07T06:43:13-06:00,7.04,26,82,907.61,74,0.0
1751892313,2025-07-07T06:45:13-06:00,7.04,26,82,907.63,74,0.0
1751892433,2025-07-07T06:47:13-06:00,7.04,26,82,907.67,74,0.0
1751892553,2025-07-07T06:49:13-06:00,7.04,26,82,907.7,73,0.0
1751892673,2025-07-07T06:51:13-06:00,7.04,26,82,907.71,74,0.0
1751892793,2025-07-07T06:53:13-06:00,7.04,26,82,907.71,74,0.0
1751892913,2025-07-07T06:55:13-06:00,7.04,26,82,907.75,74,0.0
1751893033,2025-07-07T06:57:13-06:00,7.04,26,82,907.73,74,0.0
1751893153,2025-07-07T06:59:13-06:00,7.04,26,82,907.76,73,0.0
1751893273,2025-07-07T07:01:13-06:00,7.04,26,82,907.76,73,0.0
1751893393,2025-07-07T07:03:13-06:00,7.04,26,82,907.77,73,0.0
1751893513,2025-07-07T07:05:13-06:00,7.04,26,82,907.77,73,0.0
1751893633,2025-07-07T07:07:13-06:00,7.04,26,82,907.77,73,0.0
1751893753,2025-07-07T07:09:13-06:00,7.04,26,82,907.79,73,0.0
1751893873,2025-07-07T07:11:13-06:00,7.04,26,82,907.79,72,0.0
1751893993,2025-07-07T07:13:13-06:00,7.04,26,82,907.77,73,0.0
1751894113,2025-07-07T07:15:13-06:00,7.04,26,82,907.76,73,0.0
1751894233,2025-07-07T07:17:13-06:00,7.04,26,82,907.78,73,0.0
1751894353,2025-07-07T07:19:13-06:00,7.04,26,82,907.75,73,0.0
1751894473,2025-07-07T07:21:13-06:00,7.04,26,82,907.74,73,0.0
1751894594,2025-07-07T07:23:14-06:00,7.04,26,82,907.73,73,0.0
1751894714,2025-07-07T07:25:14-06:00,7.04,26,82,907.75,72,0.0
1751894834,2025-07-07T07:27:14-06:00,7.04,26,82,907.74,73,0.1
1751894954,2025-07-07T07:29:14-06:00,7.04,26,82,907.74,73,0.0
1751895074,2025-07-07T07:31:14-06:00,7.04,26,82,907.74,73,0.0
1751895194,2025-07-07T07:33:14-06:00,7.04,26,82,907.77,73,0.0
1751895314,2025-07-07T07:35:14-06:00,7.04,26,82,907.78,72,0.0
1751895434,2025-07-07T07:37:14-06:00,7.04,26,82,907.79,72,0.0
1751895554,2025-07-07T07:39:14-06:00,7.04,26,82,907.82,72,0.0
1751895674,2025-07-07T07:41:14-06:00,7.04,26,83,907.81,72,0.0
1751895794,2025-07-07T07:43:14-06:00,7.04,26,83,907.78,72,0.0
1751895914,2025-07-07T07:45:14-06:00,7.04,26,82,907.82,72,0.0
1751896034,2025-07-07T07:47:14-06:00,7.04,26,83,907.8,73,0.0
1751896154,2025-07-07T07:49:14-06:00,7.04,26,83,907.82,73,0.0
